post_id,meta_key,meta_value
52362,_yoast_wpseo_metadesc,"Fatema Dawoodbhoy is a content writer, who is passionate about championing women to understand their bodies better and prioritise their health"
52362,_yoast_wpseo_title,Fatema Dawoodbhoy | The Lowdown
52410,_yoast_wpseo_canonical,https://thelowdown.com/author/imogen-spector-hill
52410,_yoast_wpseo_metadesc,"Imogen Spector-Hil is a GP, who is passionate about improving women's health with specialties in menopause care and contraception"
52410,_yoast_wpseo_title,Imogen Spector-Hill | The Lowdown
52512,_yoast_wpseo_canonical,https://thelowdown.com/author/helen-walker
52512,_yoast_wpseo_metadesc,"Helen Walker is a GP, who has an interest in HIV research, transplants and women's health"
52512,_yoast_wpseo_title,Dr Helen Walker | The Lowdown
52558,_yoast_wpseo_canonical,https://thelowdown.com/author/samantha-ike
52558,_yoast_wpseo_metadesc,"Samantha Ike is a GP trainee based in the East of England passionate about improving women's health, education and wellbeing"
52558,_yoast_wpseo_title,Dr Samantha Ike | The Lowdown
52942,_yoast_wpseo_canonical,https://thelowdown.com/author/jessica-frost
52942,_yoast_wpseo_metadesc,Jessica Frost is an Oxfordshire-based GP with a special interest in women's health and lifestyle medicine
52942,_yoast_wpseo_title,Dr Jessica Frost | The Lowdown
52959,_yoast_wpseo_canonical,https://thelowdown.com/author/jess-catchpole
52959,_yoast_wpseo_metadesc,Jess Catchpole is a junior doctor in the North-West of England with a strong interest in women’s health and medical research
52959,_yoast_wpseo_title,Dr Jess Catchpole | The Lowdown
52986,_yoast_wpseo_canonical,https://thelowdown.com/author/jessica-hobbis
52986,_yoast_wpseo_metadesc,"Jessica Hobbis heads ScreenMe's partnerships, is passionate about health and strives to improve education & opportunity for women through her work"
52986,_yoast_wpseo_title,Jessica Hobbis | The Lowdown
