URL on Site 1,Title 1,Meta Title 1,Meta Description 1,Slug 1,URL on Site 2,Title 2,Meta Title 2,Meta Description 2,Slug 2
http://localhost/thelowdown/wp/blog/whats-the-best-contraceptive-pill-for-acne,What's The Best Contraceptive Pill For Acne? | The Lowdown,,"The combined pill can improve acne, but the progestogen-only pill can make skin worse. Find out which UK birth control is best if you’re prone to spots.",whats-the-best-contraceptive-pill-for-acne,,,,,
http://localhost/thelowdown/wp/blog/an-introduction-to-your-hormones-and-menstrual-cycle,Your Hormones & Menstrual Cycle Explained | The Lowdown,,"To understand how contraception affects our bodies, we first need to understand how natural hormones play a part in the menstrual cycle.",an-introduction-to-your-hormones-and-menstrual-cycle,,,,,
http://localhost/thelowdown/wp/author/lucy-rowett,Lucy Rowett - The Lowdown,,,lucy-rowett,,,,,
http://localhost/thelowdown/wp/blog/tag/menopause,menopause Archives - The Lowdown,,,menopause,,,,,
http://localhost/thelowdown/wp/author/danielle-robinson,Dr Danielle Robinson - The Lowdown,,,danielle-robinson,,,,,
http://localhost/thelowdown/wp/author/eppie-shepherd,Eppie Shepherd - The Lowdown,,,eppie-shepherd,,,,,
http://localhost/thelowdown/wp/blog/bacterial-vaginosis-causes-treatment,What are the Causes of Bacterial Vaginosis? | The Lowdown,,"Bacterial vaginosis can be unpleasant and embarrassing. But with the right treatment, it will soon be a distant memory. Get the lowdown on the causes and treatment of bacterial vaginosis to help prevent it returning.",bacterial-vaginosis-causes-treatment,,,,,
http://localhost/thelowdown/wp/blog/tag/heavy-periods,heavy periods Archives - The Lowdown,,,heavy-periods,,,,,
http://localhost/thelowdown/wp/blog/tesh-contraceptive-story,Cerazette & Endometriosis: My Experience | The Lowdown,,"From PCOS to endometriosis, it took three scans, three pills and five years until Tesh knew why she had been living in so much pain.",tesh-contraceptive-story,,,,,
http://localhost/thelowdown/wp/author/melanie-davis-hall,Dr Melanie Davis-Hall - The Lowdown,,,melanie-davis-hall,,,,,
http://localhost/thelowdown/wp/blog/tag/research,research Archives - The Lowdown,,,research,,,,,
http://localhost/thelowdown/wp/blog/medroxyprogesterone-acetate,What is Medroxyprogesterone Acetate? | The Lowdown,,"As an original, first-generation synthetic progestin, medroxyprogesterone acetate has a long and varied history.",medroxyprogesterone-acetate,,,,,
http://localhost/thelowdown/wp/author/li-sa-choo,Li Sa Choo - The Lowdown,,,li-sa-choo,,,,,
http://localhost/thelowdown/wp/author/kimberley-malone-crossley,Kimberly Malone Crossley - The Lowdown,,,kimberley-malone-crossley,,,,,
http://localhost/thelowdown/wp/blog/tag/injection,injection Archives - The Lowdown,,,injection,,,,,
http://localhost/thelowdown/wp/blog/share-your-coil-fitting-experience-survey,Share Your Coil Fitting Experience In Our Survey | The Lowdown,,The Lowdown are conducting a survey gathering experiences of people who have had either a hormonal or copper coil fitted.,share-your-coil-fitting-experience-survey,,,,,
http://localhost/thelowdown/wp/blog/why-is-my-period-late,"My Period Late, but Pregnancy Test Negative? | The Lowdown",,"Here are 8 reasons why your period may be late but you may not be pregnant. Including stress, PCOS, contraceptive methods and weight.",why-is-my-period-late,,,,,
http://localhost/thelowdown/wp/blog/my-contraceptive-journey-one-injection-please,"My Contraceptive Journey: One Injection, Please | The Lowdown",,"All Lili wanted was to go onto the injection, but the nurse insisted she try different birth control pills first, despite it not agreeing with her.",my-contraceptive-journey-one-injection-please,,,,,
http://localhost/thelowdown/wp/blog/when-to-seek-medical-review-of-pill-or-patch,Getting a Medical Review For Your Contraception | The Lowdown,,When should you seek out a medical review to check your contraception is still safe and suitable for you to use?,when-to-seek-medical-review-of-pill-or-patch,,,,,
http://localhost/thelowdown/wp/author/georgia-gallant,Georgia Gallant - The Lowdown,,,georgia-gallant,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-on-pcos,The Lowdown On PCOS | The Lowdown,,Professor Colin Duncan - one of the world’s leading experts on Polycystic Ovary Syndrome - speaks with The Lowdown.,the-lowdown-on-pcos,,,,,
http://localhost/thelowdown/wp/blog/ethinylestradiol,What is Ethinylestradiol and How does it Work? | The Lowdown,,Ethinylestradiol is a synthetic form of oestrogen (like the hormone oestrogen naturally found in your body but made in a lab).,ethinylestradiol,,,,,
http://localhost/thelowdown/wp/blog/how-to-use-condoms,How to use Condoms - The Lowdown,,"The humble male condom - how do they work? We give you the lowdown on when to use a condom, how to put one on and what to do if it breaks...",how-to-use-condoms,,,,,
http://localhost/thelowdown/wp/blog/metformin-for-pcos,Metformin for PCOS - The Lowdown,,"The lowdown on what metformin is and what it is usually prescribed for, as well as the side effects of Metformin and how effective it is for PCOS",metformin-for-pcos,,,,,
http://localhost/thelowdown/wp/blog/tag/pcos,PCOS Archives - The Lowdown,,,pcos,,,,,
http://localhost/thelowdown/wp/author/silvia-anie-akwetey,Dr Silvia Anie-Akwetey - The Lowdown,,,silvia-anie-akwetey,,,,,
http://localhost/thelowdown/wp/blog/imogen-spector-hill,Dr Imogen Spector-Hill - The Lowdown,,,imogen-spector-hill,,,,,
http://localhost/thelowdown/wp/blog/tag/personal-story,personal story Archives - The Lowdown,,,personal-story,,,,,
http://localhost/thelowdown/wp/author/sophie-king,Sophie King - The Lowdown,,,sophie-king,,,,,
http://localhost/thelowdown/wp/author/hayley-johnson,Dr Hayley Johnson - The Lowdown,,,hayley-johnson,,,,,
http://localhost/thelowdown/wp/blog/decidual-cast,What is a Decidual Cast? - The Lowdown,,"The lowdown on what what a decidual cast is, what causes it, whether it is dangerous and when you should see a doctor",decidual-cast,,,,,
http://localhost/thelowdown/wp/blog/when-does-perimenopause-start,When Does Perimenopause Start? - The Lowdown,,Every person will start their perimenopause at a different age with over 34 recognised symptoms of menopause to be aware of,when-does-perimenopause-start,,,,,
http://localhost/thelowdown/wp/blog/tag/periods,periods Archives - The Lowdown,,,periods,,,,,
http://localhost/thelowdown/wp/privacy-policy,Privacy policy - The Lowdown,,,privacy-policy,,,,,
http://localhost/thelowdown/wp/blog/menopause-exercise,Menopause & Exercise | The Lowdown,,Get the lowdown on how exercise can help with menopause and the best exercises to help with your menopausal symptoms,menopause-exercise,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-on-fertility,The Lowdown On Fertility | The Lowdown,,"James Nicopoullos, Consultant Gynaecologist and Subspecialist in Reproductive Medicine & Surgery, takes us through the fertility basics.",the-lowdown-on-fertility,,,,,
http://localhost/thelowdown/wp/blog/what-does-endometriosis-feel-like,What Does Endometriosis Feel Like?,,We asked our Instagram audience how they describe their endometriosis pain. Dr Fran Yarlett explains how people with endometriosis can talk to their GP.,what-does-endometriosis-feel-like,,,,,
http://localhost/thelowdown/wp/blog/tag/bloating,bloating Archives - The Lowdown,,,bloating,,,,,
http://localhost/thelowdown/wp/blog/fibroids-after-menopause,Fibroids after Menopause - The Lowdown,,The size of fibroids and the symptoms they cause tend to slowly reduce during menopause as your hormones change.,fibroids-after-menopause,,,,,
http://localhost/thelowdown/wp/author/bethany-weatherhead,Bethany Weatherhead - The Lowdown,,,bethany-weatherhead,,,,,
http://localhost/thelowdown/wp/blog/clinical-effectiveness-explained,Contraceptive Effectiveness Explained | The Lowdown,,What does 'typical use' vs 'perfect use' even mean? Get the lowdown on contraceptive effectiveness.,clinical-effectiveness-explained,,,,,
http://localhost/thelowdown/wp/author/mary-hargreaves,Mary Hargreaves - The Lowdown,,,mary-hargreaves,,,,,
http://localhost/thelowdown/wp/blog/androgens,What Are Androgens In Contraception? | The Lowdown,,"Androgens are a group of sex hormones generally associated with men, although some are also found in women’s bodies in lower concentrations. Read more.",androgens,,,,,
http://localhost/thelowdown/wp/author/maddie-braidwood,Maddie Braidwood - The Lowdown,,,maddie-braidwood,,,,,
http://localhost/thelowdown/wp/blog/period-poo-the-ins-and-the-outs,Period Poo - The Ins and Outs| ﻿The Lowdown,,Our complete no frills guide to period poo and why you might be pooping more than normal at this point in your menstrual cycle.,period-poo-the-ins-and-the-outs,,,,,
http://localhost/thelowdown/wp/blog/changing-time-taking-pill,Can I Change The Time I Take My Birth Control Pill? | The Lowdown,,Get the lowdown on 'safe windows' and keeping yourself protected when changing the time you take your pill.,changing-time-taking-pill,,,,,
http://localhost/thelowdown/wp/blog/is-cotton-good-for-your-vagina,"Is Cotton Really Good For Your Vagina? In Short, Yes | The Lowdown",,"The chances are, if you’ve got a vagina, at some point along the way your mum, doctor, or gynaecologist has told you to wear cotton underwear. But why?",is-cotton-good-for-your-vagina,,,,,
http://localhost/thelowdown/wp/author/dani-conlon,Dani Conlon - The Lowdown,,,dani-conlon,,,,,
http://localhost/thelowdown/wp/blog/tag/reviews,reviews Archives - The Lowdown,,,reviews,,,,,
http://localhost/thelowdown/wp/blog/perimenopause-hrt,Perimenopause and HRT | The Lowdown,,HRT stands for hormone replacement therapy. It’s basically putting the hormones back in your body that are changing and reducing throughout perimenopause. The aim of HRT in perimenopause is to manage your symptoms and make you feel better.,perimenopause-hrt,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-on-periods,The Lowdown On Periods | The Lowdown,,"Dr Jerilynn Prior, one of the world’s leading experts on the menstrual cycle and women’s hormones talks to The Lowdown about periods.",the-lowdown-on-periods,,,,,
http://localhost/thelowdown/wp/blog/microgynon-and-pcos,Microgynon and PCOS - can it alleviate symptoms? - The Lowdown,,"Learn about how Microgynon affect the most common symptoms of polycystic ovary syndrome (PCOS), including acne and hair loss.",microgynon-and-pcos,,,,,
http://localhost/thelowdown/wp/blog/how-to-insert-a-vaginal-ring,How To Insert A Vaginal Ring | The Lowdown,,"In this video, Dr Becky explains how to insert and remove the vaginal ring correctly",how-to-insert-a-vaginal-ring,,,,,
http://localhost/thelowdown/wp/blog/microgynon-emergency-contraception,Can You Use Microgynon as an Emergency Pill? | The Lowdown,,Can the Microgynon pill be used as emergency contraception? Here our doctors answer this commonly asked question.,microgynon-emergency-contraception,,,,,
http://localhost/thelowdown/wp/blog/tag/newsletter,newsletter Archives - The Lowdown,,,newsletter,,,,,
http://localhost/thelowdown/wp/blog/cerelle-pill-menopause,Cerelle and the Menopause: Can the Pill Help? | The Lowdown,,In this guide our doctors share everything you need to know about the Cerelle pill and the menopause including if it can help with symptoms.,cerelle-pill-menopause,,,,,
http://localhost/thelowdown/wp/blog/samantha-ike,Dr Samantha Ike - The Lowdown,,,samantha-ike,,,,,
http://localhost/thelowdown/wp/what-is-synthetic-progestin-the-ingredient-in-your-hormonal-contraception,What Is Synthetic Progestin? | The Lowdown,,Every method of hormonal contraception contains a type of synthetic (man-made) progestin. Each work in various ways to stop pregnancy.,what-is-synthetic-progestin-the-ingredient-in-your-hormonal-contraception,,,,,
http://localhost/thelowdown/wp/blog/estradiol-hemihydrate,Estradiol Hemihydrate | The Lowdown,,Estradiol hemihydrate is a synthetic form of oestrogen (like the hormone oestrogen naturally found in your body but made in a lab).,estradiol-hemihydrate,,,,,
http://localhost/thelowdown/wp/blog/hormonal-imbalance-signs-symptoms,Hormonal Imbalance | Signs & Symptoms | The Lowdown,,Experiencing some unusual symptoms and think it might be due to hormonal imbalance? Get the lowdown on the signs of a hormonal imbalance and how to treat it...,hormonal-imbalance-signs-symptoms,,,,,
http://localhost/thelowdown/wp/blog/iud-brands,IUD brands - The Lowdown,,"Learn about what an IUD is, how it works, as well as the benefits and the side effects",iud-brands,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-on-endometriosis,The Lowdown On Endometriosis | The Lowdown,,"Professor Andrew Horne, one of the world’s leading experts on endometriosis, talks to The Lowdown in an exclusive webinar.",the-lowdown-on-endometriosis,,,,,
http://localhost/thelowdown/wp/blog/tag/fertility-awareness,Fertility awareness Archives - The Lowdown,,,fertility-awareness,,,,,
http://localhost/thelowdown/wp/blog/tag/decidual-cast,decidual cast Archives - The Lowdown,,,decidual-cast,,,,,
http://localhost/thelowdown/wp/blog/tag/bleeding,bleeding Archives - The Lowdown,,,bleeding,,,,,
http://localhost/thelowdown/wp/author/becky-mawson,Dr Becky Mawson - The Lowdown,,,becky-mawson,,,,,
http://localhost/thelowdown/wp/blog/anxiety-exhaustion-perimenopause,"Anxious, exhausted and struggling to focus? It could be perimenopause.",,"Get the lowdown on why anxiety, exhaustion and struggling to focus could be signs of perimenopause",anxiety-exhaustion-perimenopause,,,,,
http://localhost/thelowdown/wp/blog/breastfeeding-contraception,Breastfeeding And Contraception: Your Options | The Lowdown,,Breastfeeding is 98% effective as a method of contraception if done correctly. Get the lowdown on the Lactational Amenorrhoea Method (LAM).,breastfeeding-contraception,,,,,
http://localhost/thelowdown/wp/blog/removing-iud-pandemic,Removing My Coil (IUD) During A Pandemic | The Lowdown,,One woman's honest experience of getting her IUD coil removed during Covid-19.,removing-iud-pandemic,,,,,
http://localhost/thelowdown/wp/blog/can-you-get-pregnant-on-your-period,Can you get pregnant on your period? | The Lowdown,,Are you able to get pregnant on your period? Our doctors explain whether this is true and useful information you need to know. Read more...,can-you-get-pregnant-on-your-period,,,,,
http://localhost/thelowdown/wp/blog/crohns-and-my-mirena-coil,Contraceptive Journey: Crohn's & Mirena Coil | The Lowdown,,"Alysia shares her journey with Crohn's disease, coming off the pill and finding the Mirena coil to be the best contraception for her.",crohns-and-my-mirena-coil,,,,,
http://localhost/thelowdown/wp/blog/the-lowdowns-february-newsletter,The Lowdown's February newsletter - The Lowdown,,Sign up to the best women’s health newsletter on the internet to get insights such as Dr Fran taking on Elon Musk and the launch of our perimenopause site,the-lowdowns-february-newsletter,,,,,
http://localhost/thelowdown/wp/blog/hormonal-contraceptives-explained,Hormonal Contraceptives Explained | The Lowdown,,"Hormonal contraceptives explained by contraceptive experts, The Lowdown.",hormonal-contraceptives-explained,,,,,
http://localhost/thelowdown/wp/author/angela-wipperman,Angela Wipperman - The Lowdown,,,angela-wipperman,,,,,
http://localhost/thelowdown/wp/blog/yasmin-pill-breastfeeding,Yasmin Pill and Breastfeeding - Is It Safe? | The Lowdown,,Can you take the Yasmin contraceptive pill while breastfeeding? Here our doctors share if Yasmin is safe to take while breastfeeding.,yasmin-pill-breastfeeding,,,,,
http://localhost/thelowdown/wp/blog/norethisterone-enanthate,Norethisterone Enanthate | The Lowdown,,"Norethisterone enanthate flies solo; a synthetic progestin, it’s used on its own in the contraceptive injection called Noristerat.",norethisterone-enanthate,,,,,
http://localhost/thelowdown/wp/blog/signs-hrt-not-working,Signs your HRT is not working - The Lowdown,,"What's the lowdown on what the main signs that HRT isn’t working are, whether HRT can suddenly stop working and how to tell if your dose is too high or low",signs-hrt-not-working,,,,,
http://localhost/thelowdown/wp/blog/tag/non-hormonal,non-hormonal Archives - The Lowdown,,,non-hormonal,,,,,
http://localhost/thelowdown/wp/blog/endometriosis-and-fertility,Endometriosis and Fertility: Can You Get Pregnant with Endometriosis?,,Get the lowdown from our doctors on endometriosis fertility and real experience stories of trying to conceive with endometriosis.,endometriosis-and-fertility,,,,,
http://localhost/thelowdown/wp/blog/tag/pcso,PCSO Archives - The Lowdown,,,pcso,,,,,
http://localhost/thelowdown/wp/blog/my-contraceptive-journey-how-the-wrong-pill-affected-everything,From Cerazette to Microgynon: My Journey | The Lowdown,,"The wrong contraceptive pill can affect everything from mental wellbeing, physical wellbeing, relationships and lifestyle.",my-contraceptive-journey-how-the-wrong-pill-affected-everything,,,,,
http://localhost/thelowdown/wp/blog/best-treatments-endometriosis,What Are the Best Treatments for Endometriosis | The Lowdown,,"What are the best endometriosis treatments? Get the lowdown on everything from diet and lifestyle, to pain killers and surgery",best-treatments-endometriosis,,,,,
http://localhost/thelowdown/wp/blog/helen-walker,Dr Helen Walker - The Lowdown,,,helen-walker,,,,,
http://localhost/thelowdown/wp/blog/norethisterone,What Is Norethisterone & How Does It Work? | The Lowdown,,"Norethisterone is a progestin used for hormonal therapy in menopausal women and can be used to delay a period, or reduce endometriosis pain. Read more.",norethisterone,,,,,
http://localhost/thelowdown/wp/blog/birth-control-pioneer-mary-kenner-and-why-we-should-stan,Menstrual Product Pioneer:: Mary Kenner | The Lowdown,,"Mary Kenner is the Black woman responsible for inventing the sanitary belt, a device which paved the way for female menstrual health products.",birth-control-pioneer-mary-kenner-and-why-we-should-stan,,,,,
http://localhost/thelowdown/wp/blog/endometriosis-fatigue,Endometriosis Fatigue | The Lowdown,,"Get the lowdown on endometriosis fatigue, what you can do about it, and what other people say helps them.",endometriosis-fatigue,,,,,
http://localhost/thelowdown/wp/blog/covid-19-vaccine-and-the-impact-on-fertility-awareness,COVID-19 Vaccine and The Impact on Fertility | The Lowdown,,"Fertility awareness practitioner, Sarah Panzetta, shares insights on the impact of the COVID-19 vaccine on the Fertility Awareness Method (FAM) of contraception.",covid-19-vaccine-and-the-impact-on-fertility-awareness,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-on-sex-libido-orgasms,"The Lowdown On Sex, Libido and Orgasms | The Lowdown",,"The Lowdown sits down with certified sex coaches Georgia and Lucy to demystify all things sex, libido and orgasms",the-lowdown-on-sex-libido-orgasms,,,,,
http://localhost/thelowdown/wp/blog/flu-like-symptoms-before-period,Flu-like Symptoms Before Your Period | The Lowdown,,"Is 'period flu' a real thing? While not a diagnosis on its own, there are actually many flu-like symptoms associated with PMS and PMDD.",flu-like-symptoms-before-period,,,,,
http://localhost/thelowdown/wp/blog/contraception-side-effects,5 Most Common Side Effects of Contraceptives | The Lowdown,,Here we share the most common side effects of contraception to help you understand which method might be best for you.,contraception-side-effects,,,,,
http://localhost/thelowdown/wp/blog/contraception-fertility,Contraception and the Return to Fertility | The Lowdown,,What happens when you want to come off it when you are actively looking to get pregnant? Is fertility affected by the pill? We give you all the info.,contraception-fertility,,,,,
http://localhost/thelowdown/wp/blog/drospirenone,What Is Drospirenone & How Does It Work? | The Lowdown,,"Drospirenone is a synthetic progestin used alongside synthetic oestrogens in the combined pill. Read more about what it is, how it works. Read more.",drospirenone,,,,,
http://localhost/thelowdown/wp/blog/contraceptive-pill-hair-loss,Can The Birth Control Pill Cause Hair Loss? | The Lowdown,,Is there a link between hair loss and the pill? We take a look at the evidence for oral contraceptives as well as other methods.,contraceptive-pill-hair-loss,,,,,
http://localhost/thelowdown/wp/blog/contraception-heavy-periods,How Contraception Helps Heavy & Painful Periods | The Lowdown,,Some contraceptives can stop heavy periods and reduce pain. Here are the best contraceptives for the job and methods you may wish to avoid.,contraception-heavy-periods,,,,,
http://localhost/thelowdown/wp/blog/period-pain-mefenamic-acid,Mefenamic Acid for Period Pain - The Lowdown,,"Doctors explain why mefenamic acid can be used for period pain, along with other alternatives to ease pain during menstruation.",period-pain-mefenamic-acid,,,,,
http://localhost/thelowdown/wp/author/personal-story,Personal Stories - The Lowdown,,These blogs are part of The Lowdown’s My Contraceptive Journey series.,personal-story,,,,,
http://localhost/thelowdown/wp/blog/endo-contraceptives-emily-heath,My Journey With Endometriosis & Contraception | The Lowdown,,Lowdown contributor Emily Heath shares her experiences - both good and bad - with endometriosis and hormonal contraception.,endo-contraceptives-emily-heath,,,,,
http://localhost/thelowdown/wp/author/natalie-healey,Natalie Healey - The Lowdown,,,natalie-healey,,,,,
http://localhost/thelowdown/wp/blog/tag/desogestrel,desogestrel Archives - The Lowdown,,,desogestrel,,,,,
http://localhost/thelowdown/wp/blog/blood-clots-in-period,Blood Clots in Periods: What’s normal? - The Lowdown,,"Get the lowdown on whether blood clots in your period are normal, types of blood clots on your period and what they mean, and when to see your GP",blood-clots-in-period,,,,,
http://localhost/thelowdown/wp/blog/types-of-pcos,Types of PCOS Explained by Doctors - The Lowdown,,Get the lowdown on the different types of PCOS from our medical experts to help you identify which type of PCOS you may have.,types-of-pcos,,,,,
http://localhost/thelowdown/wp/blog/tag/the-pill,the pill Archives - The Lowdown,,,the-pill,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-bags-800000-pre-seed-investment,"The Lowdown Bags $800,000 Pre Seed Investment | The Lowdown",,"The Lowdown raises a $800,000 pre seed investment to build out our community based contraception and women’s health platform.",the-lowdown-bags-800000-pre-seed-investment,,,,,
http://localhost/thelowdown/wp/blog/tag/microgynon,microgynon Archives - The Lowdown,,,microgynon,,,,,
http://localhost/thelowdown/wp/blog/why-are-my-breasts-sore,Why Are My Breasts Sore? | Expert Advice | The Lowdown,,Sore breasts can be due to a number of causes but is often not something to worry about. Let's look at the reasons why you may have sore breasts...,why-are-my-breasts-sore,,,,,
http://localhost/thelowdown/wp/blog/tag/ibd,IBD Archives - The Lowdown,,,ibd,,,,,
http://localhost/thelowdown/wp/blog/perimenopause-trouble-sleeping,How To Manage Trouble Sleeping in Perimenopause | The Lowdown,,One of the most commonly reported perimenopause symptoms on The Lowdown is trouble sleeping. So what can you do to get a better night’s sleep?,perimenopause-trouble-sleeping,,,,,
http://localhost/thelowdown/wp/blog/tag/tranexamic-acid,tranexamic acid Archives - The Lowdown,,,tranexamic-acid,,,,,
http://localhost/thelowdown/wp/blog/tag/spotting,spotting Archives - The Lowdown,,,spotting,,,,,
http://localhost/thelowdown/wp/blog/tag/iud,IUD Archives - The Lowdown,,,iud,,,,,
http://localhost/thelowdown/wp/blog/jessica-frost,Dr Jessica Frost - The Lowdown,,,jessica-frost,,,,,
http://localhost/thelowdown/wp/blog/tag/hrt,hrt Archives - The Lowdown,,,hrt,,,,,
http://localhost/thelowdown/wp/blog/fibroids-pregnancy,Fibroids and Pregnancy - The Lowdown,,Fibroids are not a definitive barrier to getting pregnant. Infertility is a rare complication of fibroids. Learn more,fibroids-pregnancy,,,,,
http://localhost/thelowdown/wp/blog/tag/eloine,eloine Archives - The Lowdown,,,eloine,,,,,
http://localhost/thelowdown/wp/blog/nikki-ramskill,Dr Nikki Ramskill - The Lowdown,,,nikki-ramskill,,,,,
http://localhost/thelowdown/wp/blog/gestodene,Gestodene | The Lowdown,,Gestodene is a third-generation synthetic progestin and almost always used in the combined pill alongside synthetic oestrogens.,gestodene,,,,,
http://localhost/thelowdown/wp/blog/pcos-faqs,Everything You Need to Know About PCOS | FAQs | The Lowdown,,"You asked, Dr Fran answered! Everything you need to know about PCOS. From the basics to different symptoms and treatment options.",pcos-faqs,,,,,
http://localhost/thelowdown/wp/blog/lichen-sclerosus,My Contraceptive Journey: Let's Talk About Lichen Sclerosus,,What's Lichen Sclerosus and what can be done about it? Here's Lena's story of her diagnosis and the treatment for this itchy condition.,lichen-sclerosus,,,,,
http://localhost/thelowdown/wp/blog/the-lowdown-on-painful-sex,The Lowdown On Painful Sex | The Lowdown,,The Lowdown talks to sex coach Lucy Rowett and pelvic health physiotherapist Kathryn Levy to discuss all things painful sex,the-lowdown-on-painful-sex,,,,,
